Player,Opponent,Gameweek
Matt,Tim,27
Tim,Matt,27
Karl,Sam,27
Sam,Karl,27
Andy,Nick,27
Nick,Andy,27
Mike,Mikey,27
Mikey,Mike,27
Dove,John,27
John,Dove,27
John,Nick,28
Nick,John,28
Matt,Sam,28
Sam,Matt,28
Andy,Tim,28
Tim,Andy,28
Dove,Mikey,28
Mikey,Dove,28
Mike,Karl,28
Karl,Mike,28
John,Sam,29
Sam,John,29
Nick,Tim,29
Tim,Nick,29
Matt,Mikey,29
Mikey,Matt,29
Andy,Karl,29
Karl,Andy,29
Dove,Mike,29
Mike,Dove,29
John,Tim,30
Tim,John,30
Sam,Mikey,30
Mikey,Sam,30
Nick,Karl,30
Karl,Nick,30
Matt,Mike,30
Mike,Matt,30
Andy,Dove,30
Dove,Andy,30
John,Mikey,31
Mikey,John,31
Tim,Karl,31
Karl,Tim,31
Sam,Mike,31
Mike,Sam,31
Nick,Dove,31
Dove,Nick,31
Matt,Andy,31
Andy,Matt,31
John,Karl,32
Karl,John,32
Mikey,Mike,32
Mike,Mikey,32
Tim,Dove,32
Dove,Tim,32
Sam,Andy,32
Andy,Sam,32
Nick,Matt,32
Matt,Nick,32
John,Mike,33
Mike,John,33
Karl,Dove,33
Dove,Karl,33
Mikey,Andy,33
Andy,Mikey,33
Tim,Matt,33
Matt,Tim,33
Sam,Nick,33
Nick,Sam,33
John,Dove,34
Dove,John,34
Mike,Andy,34
Andy,Mike,34
Karl,Matt,34
Matt,Karl,34
Mikey,Nick,34
Nick,Mikey,34
Tim,Sam,34
Sam,Tim,34
John,Andy,35
Andy,John,35
Dove,Matt,35
Matt,Dove,35
Mike,Nick,35
Nick,Mike,35
Karl,Sam,35
Sam,Karl,35
Mikey,Tim,35
Tim,Mikey,35
John,Matt,36
Matt,John,36
Andy,Nick,36
Nick,Andy,36
Dove,Sam,36
Sam,Dove,36
Mike,Tim,36
Tim,Mike,36
Karl,Mikey,36
Mikey,Karl,36
